;Исполнитель;Группа тем;Текст инцидента;Тема;num_ner
6118;Город Пермь;Физическая культура и спорт;"'А у нас в Мотовилихе уже есть стадион Молот , который уже стал историей Перми , и который хотят застроить жилыми домами в угоду золотому тельцу . Это , у нас в Перми , называется "" несём спорт в массы . Может господин Махонин , всё таки прислушается к мнению жителей района и города , которым по большому счету негде заниматься физической культурой , тем более с детства . Это я сейчас имею в виду точечную застройку города , у нас уже отнимают дворы . Вам не стыдно , господа чиновники , вы ведь живёте среди людей ,тех самых , которые выбирали вас .А так , глядя на деяния ваши , могу сказать одно- вредители вы и печётесь только освоём кармане!!!!!";Строительство спортивной инфраструктуры;5
6208;АО ПРО ТКО;Мусор/Свалки/ТКО;'Здравствуйте. Вот обращаюсь к вам опять по бездействию Березниковской соцзащиты. Я, Нассонова Татьяна Николаевна с 19 г. Имею статус малоимущей и многодетной. Справку о малоимущности каждый год вовремя продлеваю, но вот опять у меня проблема с этим вывозом тбо. Прописано в квартире 4 человека я и трое детей, но наша соцзащита в списках подает что у меня то 5, то 9 человек. Обращаюсь к ним, говорят что все исправили все щас нормально будет, а в итоге ниче не меняется. Также попросила их сменить реквизиты с банка Открытие на Сбербанк, нет они все равно мне переводят в банк тк открытие! Нассонова Татьяна Николаевна, 11.07.1989, г. Березники, ул. юбилейная дом 53 кв 132.;Плата за вывоз ТКО;6
6249;Город Пермь;Дороги;'Лучше бы дорогами в городе занялся!! Я про Мотовилиху говорю... Конечно, ему не до этого, и Демкин спит в своём кресле... Я понимаю - есть разделение дорог на категории, но надо же и отдаленные районы приводить в порядок!! В частности, улица Анри Барбюса - от Ивановской и до Лифанова.. Сделали,, ямочный ремонт,, тяп- ляп!! Ямы покрыли асфальтом где выше проезжей части, а где и ниже... И это - рядом с администрацией Мотовилихинского района!! И ещё на Вышке-1, улица Ленинградская от Огородниковой и до Труда ( в трёх местах поперек дороги канавы!!), подвески летят! В следующий раз подадим иск на администрацию и отдел благоустройства района!!!;Ремонт дороги;9
6316;Город Пермь;Дороги;'Добрый день пооблем масса.<br>1. Нет ливневой канализации на улице Вильямса<br>2. Парковка и тротуары у почты на Писарева отсутствуют<br>3. Парковки и карманы для транспорта родителей перед школами<br>4. Сабоковлдов давно пора дресстровать, чтоб убирали за своими диузьями.<br>5. Площадки для сбора мусора и подъезды к ним.<br>6. Тротуары и озеленение на всех улицах<br>7. Важный вопрос тротуары на улице Писарева от ул. Толбухина до ж/д переезда.;Ямы и выбоины на дороге;5
6348;Александровский муниципальный округ Пермского края;Связь и телевидение;'Заметил в группе Александровск официально недочеты: 1. В описании есть ссылки на ресурсы, которые запрещены на территории РФ. 2. Почему в разделе ссылки размещены ссылки на сообщества/ресурсы , которые не относятся к АМО? Пускай будут ссылки на kremlin, еддс, цур , но зачем там Березники, Верещагино и т.д .?;★ Информационно-техническая поддержка;5
6357;ИГЖН ПК;ЖКХ;'[club197807915|ИГЖН Пермского края], Добрый день ИГЖН я конечно понимаю что у вас нормативы и законы, но ведь надо учитывать то из какого стройматериала был встроен дом, и то какие приборы отопительные находятся в реализации домов. Одним словом всяких нюансов полно. Но просто этим же нужно заморачитаться,а Каму это надо да? Вот допустим у нас по ул. Тюленина когда на улице ветрище в доме сразу становится хородно. Хотя квартира не угловая, а всего лишь 5этаж. А дом панельный и состоит из 12ти подъездов. И так не только у меня. При том что дом ещё весь в трещинах. Межплиточные швы вечно продувают, крыша в трещинах вся, у всех 5х этажей одна и та же беда протечки. А на компанию жалобу писать видать толку нет. Всеравно никто не реагирует. Иначе бы они зашевелились. Вот и как в таком доме будет сохраняться тепло? И таких домов у нас в городе полно. Уверена многие с этим согласятся.;Ненадлежащее содержание и эксплуатация МКД;5
6372;Министерство здравоохранения;Здравоохранение/Медицина;'Может министерство здравоохранения или главный врач Краснокамского городского округа объяснитЪ что и как работает в условиях пандемии коронавируса? В прошлую субботу вызвали врача, взяли мазок и был осмотр, позже пришёл положительный тест на ковид. Пока проходит значит неделя до сея момента, у человека бешеный кашель появился и температура даже не думает спадать. По итогу уже сегодня на очном приёме выяснилось «здрасьте приехали, надо лечиться по другому», назначили другие лекарства и только рентген легких, не КТ прошу заметить, хотя узнали что по направлению можно на Пушкина в больничном городке его сделать (при направлении). Что-то не нравится? Милости в Пермь за свою денежку в районе 4000₽ делать КТ. Так вот, хочется задаться вопросом как устроена система здравоохранения на самом деле? Или таким вот образом жи/ши пиши через (и) предлагают фактически надеется на чудо при лечении или это такой своеобразный приступ/пристрастие к лечению?! Для ОСОБО ОДАРЁННЫХ почти неделя просто так потрачена в пустую как выяснилось для лечения здоровья человека. За то сейчас все более-менее прилично запущено, уже антибиотики пей и лечись лекарствами за 3-4 тысячи ₽ублей. Сначала был подтверждённый ковид, потом бешеный БЛ кашель что можно при прекрасном раскладе вообще не спать всю ночь, далее на очереди возможно думают сверху на пневмонию. НИЗКИЙ ПОКЛОН всем тем кто активно принимает участие в подобных молниеносных лечениях, ведь ковид как говорят по телевизору якобы вообще не опасен и не смертелен. Что уже говорить теперь о денежном вопросе лечения, которое выросло сразу в 2,5 раза. А для людей с финансовыми проблемами что тогда вообще? Сразу в руки гармошку и на кладбище?!… Слов просто нет… неделя лечения просто в пустую. А какие слоганы крутят что жизнь на минуты и прочее… Тут неделю почти прое…. +кстати, привиты спутником от ковид;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи;5
6374;Министерство образования;Образование;'Добрый день! Подскажите пожалуйста, куда можно обратиться с вопросом имеет ли права школа оставить ребёнка на второй год и перевести его условно, без приказа в 7 класс. Мы учились в гимназии 1, живем в Култаево, в связи с семейными обстоятельствами не можем больше возить детей в город. С начала четвертой четверти перевелись в Култаевскую среднюю школу. В данной школе, нам сказали, что если ребёнок сдаст на 2 межаттестанционные работы на 2, его оставят на второй год или переведут условно в 7 класс, без приказа. Оценки которые ребёнок получал в течении четверти в расчёт брать не бкдут. Хотелось бы узнать, действительно ли Министерство образования приняло такие нововведения или же это на уровне школы Култаево. С таким сталкиваемся первый раз, в Гимназии не было таких условий, даже когда сдавали итоговые экзамены в начальной школе;Образовательный процесс;5
6405;АО ПРО ТКО;Мусор/Свалки/ТКО;"'Здравствуйте. Почти год назад в Ленте на б. Гагарина был с помпой установлен фандомат (Реклама во всех местных СМИ, инфо у вас). Дело очень нужное и правильное, но...Первый раз сдали бутылки - получили баллы на карту Ленты - всё замечательно, ""отоварили"". Второй раз приехали (а живём в другом конце города), сдали - оказывается никаких баллов уже нет, Лента отказалась от сотрудничества, баллы начислили куда-то на Вкусс Вилл. Обратились к ним - полная непонятка, там никто ничего не знает.<br>Скажите пожалуйста - функционирует ли по-прежнему данный фандомат, и если да - то на каких условиях? Установщики говорят, что самое бОльшее что мы моежм получить ""в виде плюшек"" - это отслеживание на сайте своего рейтинга и морального удовлетворения от вклада в чистоту города. Это всё замечательно, но вопрос к вам, как к региональному оператору - планируется ли вообще в городе установка данных аппаратов с какой-то поддержкой инициаторов, или это дело частников по принципу - сами барахтайтесь, раз ни одна торговая сеть не идет на сотрудничество?<br>с ув. Наталия";Раздельная сортировка отходов;7
6437;Министерство здравоохранения;Здравоохранение/Медицина;'> ['Я просто в шоке, что вот такое состояние на сегодняшний день в Больнице Орджоникидзевского района - Гбуз Пк «Гб-6” по улице Лобачевского 26, это Ковидное отделение. Сейчас такое время, когда каждый из нас может попасть в больницу и никто от этого не застрахован. Представьте- вы болеете и Вас привозят в какую-то срань без ремонта\U0001f92e Просто пиздецом это даже назвать нельзя. Как работать и смотреть на такие стены Врачам, они спасают жизни людей. Может нашим политикам поменяться зданиями? Глядишь посидят в таких кабинетах и подумают о больных людях🤔 Почему в Орджоникидзевском районе ничего не предпринимают? Или всем насрать на больных? У нашего Государства денег нет на ремонт больниц? Когда уже мы будем лечиться в нормальных условиях? У меня очень много вопросов к нашей Власти, почему же такое скотское отношение к своему городу, к простым людям! \nВрачам спасибо большое, что они умудряются лечить и не унывать в этом Дерьме! У меня всё! Дай Бог всем здоровья и добра🙏🏾'];Содержание больниц;7
6470;Министерство здравоохранения;Коронавирус;'Добрый день. Хочу сообщить о своей ситуации. Начну с начала. 21 января заболел ребёнок. 24 пришли на приём. Рассказала все симптомы. Назначали лечении. На протяжении 2 недель ничего не улучшается. Симптомы - кашель, насморк (затяжные зелёные сопли) коньюктивит, боль в глазах при ярком свете. Температуры нет. Лечение проходим по предписанию врача. Посещали лор-врача из-за боли в глазах. Тест на Ковид не назначали и не предложили даже. Сегодня 04.02.22 решила купить сама в аптеке тест на ковид. В итоге потвердился. Обратилась в ковид - центр в своей больнице. Взяли тест.<br>Самое возмутимое то, что я сидя на больничном с ребёнком. Должна была списаться уже в понедельник и привести ребёнка в садик и сама выйти на работу. Если я не сделала сама тест на ковид. Мой ребёнок заразил бы всю группу и воспитателей. Да в принципе часть садика была бы заражена , так же я работаю в организации по обслуживанию клиентов.<br>Вчера 3.02.22 посетила сама лично терапевта объяснила всю ситуацию что ребёнок долго болеет, сама я лично с сильным кашлем и острой болью в горле, надеялась, что терапевт даст направление на ковид-тест. Но к сожалению она сказала, что у меня все хорошо и на этом посещение закончилось.<br>Прошу провести проверку и беседу с глав. врачем Верещагинская районная центральная больница. Лечащий врач у ребёнка Кочина. Е. В.<br>Лечащий врач терапевт Ларионова Н. А.<br>ПОЧЕМУ С ТАКОЙ СИТАУЦИЕЙ ВРАЧИ СРАЗУ НЕ НАЗНАЧАЮТ ТЕСТЫ. ТАКИМИ ТЕМПАМИ КОВИД ПОСТОЯННО БУДЕТ. НАШИ ВРАЧИ НЕ ЗАИНТЕРЕСОВАНЫ В ЛЕЧЕНИИ ЛЮДЕЙ;Тесты на коронавирус;5
6498;Министерство здравоохранения;Здравоохранение/Медицина;"'[club171875648|Министерство здравоохранения Пермского края], КОНКРЕТНЫЙ ВОПРОС: ""МОЖЕТ ЛИ ПОЛИКЛИНИКА ДАТЬ ЭЛЕКТРОННОЕ НАПРАВЛЕНИЕ В ПОЛИКЛИНИКУ ОАО СЦБК, ГДЕ ПРИНИМАЮТ ДВА ОКУЛИСТА, РАНЕЕ РАБОТАВШИЕ В ГОРБОЛЬНИЦЕ?""";★ Просьбы о лечении;6
6595;Город Пермь;Благоустройство;'⚡️⚡️⚡️<br>Очередное обращение по уличному освещению, на этот раз по 18 округу (избран по которому Стенно Сергей Петрович [id9175092|Сергей Стенно] )<br>Сергей Петрович к вам обращаются жители домов по адресу ул. Фонтанная 8 и 10 в лице [id37182342|Вадим Ермаков]<br>С просьбой разобраться с освещением.<br>На видео вы увидите качество освещения.<br>Можно сказать его нет совсем, при этом нет так же дороги, за то грязь, лужи и ямы присутствуют.<br>Видео от Пермь|район Свердловский|Наше время;★ Неисправные фонари освещения;6
6622;Министерство здравоохранения;Здравоохранение/Медицина;'Добрый вечер, подскажите как у нас лечат детей со сколиозом? Куда и к кому можно обратиться за информацией? Из того что знаю, есть 2 реаб. центра, есть возможность сделвть корсет Шено (в 1 месте), гимнастика Шрот (1 специалист на Пермь). Хотелось бы попасть в санаторий специализированный, например Орленок в Санкт Петербурге. И знаю что есть программы в клинах других городов (Москва например) по лечению сколиоза, на такое лечение тоже хотелось бы попасть, но как? Специализированная школа есть в Перми? (Сама не нашла такой информации);Технические проблемы с записью на прием к врачу;6
6636;Город Пермь;Благоустройство;'[club175585994|Уважаемое Министерство транспорта Пермского края], здравствуйте. Я понимаю, что уборка проезжец части первоочередна. .. Я о тротуарах Закамска. Даже если и проедется по ним ваша техника - остаётся просто гололёд.. Говорю об улицах М.Рыбалко в районе остановки Астраханской и Улице Ласьвинской в районе остановки Строймастер. И это происходит из года в год. Ничего нового.<br>Хожу с травмой, спасибо за работу видимо вам...;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади;7
6670;Александровский муниципальный округ Пермского края;Дороги;'БУДЕТ САДОВАЯ РОВНОЙ<br>В редакцию обратилось несколько наших читателей с жалобой на состояние проезжей части улицы Садовая в микрорайоне Залог, там, где кончается асфальт, проехать можно только на внедорожнике. Многочисленные ямы и рытвины напоминают воронки после бомбежки, а в непогоду дорога превращается в еще больший кошмар. Местные жители пытаются бороться с этой проблемой самостоятельно, заваливая самые опасные выбоины травой, но это не спасает положение. Даже вездесущие таксисты отказываются брать заказы на Садовую. Проблема обостряется с началом посадочного сезона, когда садоводы массово устремляются на свои участки. С вопросом, какие меры принимаются по приведению улицы в нормативное состояние, мы обратились в администрацию АМО.<br>Как сообщила редакции начальник отдела транспорта, дорожного хозяйства и благоустройства администрации АМО Наталья Лукоянова из 972 метров проезжей части улицы около 400 метров приходится на дорогу с щебеночным покрытием. Как раз эта часть улицы вызывает наибольшие нарекания как тех, кто на ней проживает, так и многочисленных садоводов. Капитальный ремонт дороги планировался на 2023 год, что касается текущего содержания, то по информации ООО «АДС», грейдирование щебеночного покрытия улицы Садовая будет проведено в ближайшую неделю, а в дальнейшем, до начала капитального ремонта, проезжая часть будет выравниваться и подсыпаться не реже одного раза в месяц.<br>Автор: Олег НАУМОВ;Ремонт дороги;9
6724;Министерство здравоохранения;Здравоохранение/Медицина;'Добрый день!<br>Прошу дать ответ по такому вопросу. В городе Лысьва уже долгое время нет ни одного детского дерматолога. Принимает взрослый врач Блинкова, один час в неделю! Всего один час в неделю. У нас же город, а не село. Этого недостаточно для нормального функционирования, постановки диагноза, наблюдения. Нам предлагают платный приём в частной клинике, где та же Блинкова принимает.<br>Сегодня, 20.07., столкнулась с такой ситуацией. Мы пришли с дочерью на прием в этот, единственный час. Полный коридор детей с родителями. Врач вышла и сказала, что принимать никого не будет, ей некогда, она не обязана никого принимать, записывайтесь на другое время, и ушла! Медсестра записала на другой день тех, кому хватило записи. Не знаю, как нас примут и насколько корректным будет лечение<br>Когда появится детский врач? Неужели, Пермская медакадемия, выпускающая столько врачей ежегодно, не может подготовить всего одного специалиста? Про программу Земский доктор мы слышали. Если не едут, значит, должна быть другая мотивация. Цель должна быть у Министерства - обеспечить качественные услуги детям. И никак по-другому!<br>С уважением, Зотова Снежана Валерьевна<br>89082592505;Нехватка или сокращение врачей и медицинских учреждений;6
6760;Министерство здравоохранения;Здравоохранение/Медицина;"'Здравствуйте! Меня зовут Смирнова Екатерина Васильевна. Хотелось бы написать жалобу на работу скорой помощи в г. Соликамск и прошу принять меры в отношении виновных в следующей ситуации. Дело в том, что 14.08.2022г. моему папе Смирнову Василию Александровичу стало плохо в магазине ""Магнит"" по адресу г. Соликамск, улица Степана Разина, д.41а Продавщицы из магазина начали вызывать скорую около 12 часов дня, есть и другие неравнодушные люди, которые вызывали скорую и 112, т.к. бригады долго не было. Диспетчер при повторных звонках разговаривала грубо. В итоге скорая приехала во втором часу, когда папе уже нельзя , скорее всего, было помочь. Они оставили его лежать на голой земле, даже не прикрыв. Папа умер, лежа на асфальте у магазина. По закону скорая должна приехать в течение 20 минут, в нашем случае бригада ехала больше часа. Прошу принять меры, для предотвращения повторных случаев.";Ошибки врачей, халатность;7
6767;Город Пермь;Дороги;'Сегодня по тв показывали сюжет,что на улице Пушкина скользко и плохо ходитьНо это не только на ул.Пушкина,но и на Крисанова(3 раза упала там) ,но и на спуске с ямской (закрыли поликлиники удобные для жителей Ленинского района Пермскую 45,Камскую,скоро Матросова закроютВсе будем из центра по др.районам ездить и обслуживаться на заборных пунктах) по Газете Звезда,где сделали такие же козьи тропки для прохода людей.;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;5
6792;Город Пермь;Социальное обслуживание и защита;'Здравствуйте мне посаветавали помошники Мохонина с моей проблемой обратиться к вам .Меня зовут Львова Ирина Владимировна г/р 1970.3.12 я многодетная мама трое детей мы остались на улице без жилья прописки нет но есть решение суда о признании нас жителями г Перми мы стоим в СОП соцзащите Ленинского р_ на и весь пекет документов я предоставила что мы не имеим жилье.машину и тд нет у нас нечего просила помоч но у них отписка что решение суда не диствительно но ведь это решает суд прошу Вас помочь и разабраться мы досих пор проживаем в Перми да и куда нам диваться у нас не кого нет;Улучшение жилищных условий;6
6845;Губахинский городской округ;Мусор/Свалки/ТКО;'Добрый день! На Верхней Губахе, (улица Широкая) в начале мая прямо по середине дороги оставлен (не установлен) мусорный бак. Стоит прямо по середине дороги, площадка для мусорного контейнера не огорожена, мусор скидывают все кому не лень - туристы, жители посёлка Кировский. Регулярность вывоза на понятна. Собственники земельных участков постоянно их переставляют от своих заборов во избежание возгорания мусора. Фото прилагаю.<br>Собственники земельного участка по ул.Широкая,17а Бойко Екатерина Федоровна, Калабина Зоя Фёдоровна.;Проблемы с контейнерами;5
6853;Министерство социального развития ПК;Социальное обслуживание и защита;'Елена Витальевна, вчера в 19:46<br>Здравствуйте , у меня такая проблема , я из Чердыни ,месяц назад 28 октября подала на материальную помощь в сумме 15т.р. прошел уже ровно месяц как я не могу получить эту помощь, в соц.защите отвечают ждите ждите , мол отправили и уже месяц полнейшей тишины<br>Елена Витальевна, вчера в 19:46<br>Помощь идет по мобилизованным<br>Елена Витальевна, вчера в 19:47<br>Я мать 3 детей , воспитываю их одна , на старшего сына я не могу не как дождаться помощь так как отец его на СВО;Задержка выплат гражданам;5
6854;ИГЖН ПК;ЖКХ;'Уважаемые соседи!<br>Внимание!<br>Новая УК предъявляет нам тариф за содержание жилья 27,65 руб. за кв.м.<br>В эту сумму включена услуга по механизированной уборке снега, в размере 1,18 руб с кв.м. Ежемесячно.<br>Как пояснили в департаменте ЖКХ администрации города Перми, эта услуга не входит в минимальный перечень работ по содержанию МКД согласно действующему законодательству. Платить ее или нет, и в каком размере - этот вопрос должен быть согласован на общем собрании собственников жилья. Это решают собственники, а НЕ единолично МАСТЕР дома или УК без нашего согласия! На собрании должны были объяснить, как по новому постановлению рассчитывается тариф, и какие услуги обязательны. У нас же в досрочно сфабрикованном решении собрания указано просто, что выбрана оплата по тарифу, утвержденному администрацией города. Но сейчас с 01.02.2022 нет конкретного тарифа администрации для домов, его формируют собственники для каждого дома отдельно!<br>Оплата 1.18 руб. с кв.м - это очень усредненная цифра по городу, сколько стоила у нас эта услуга, нам никогда не узнать, т.к. данные от УК Альянс засекречены. Нам решать - платить круглый год за уборку снега, или эту услугу можно оплачивать за счет сбора средств от сдачи общедомового имущества сотовым операторам, рекламы в лифтах. УК не может распоряжаться доходами от аренды нашего имущества без согласования с собственниками.<br>При нежелании новой УК соблюдать законодательство, не согласовывая вопросы оплаты с собственниками жилья, необходимо писать обращения в департамент ЖКХ администрации города Перми или в ИГЖН с просьбой проверить правильность и обоснованность расчета квартплаты по нашему дому. При выявлении нарушений УК будет оштрафована.<br>Можно писать каждому собственнику самостоятельно, отправлять по электронной почте, управляйку оштрафуют за каждый случай обмана отдельно.;Жалобы на управляющие компании;9
6917;Город Пермь;Дороги;'[club177142993|Министерство ЖКХ Пермского края], хочется узнать где бывший завод Кама. По ул. Буксирная 4 будут ли и там делать новый асфальт.где памятник Ленина и Бранекатер Бк,454. И укладка асфальта во дворах где шлакоблочные дома по адм. Ушакова. То новым домам есть асфальт. А другим за 60 или 80 лет домам ничего;Строительство или реконструкция дорог;6
6929;Город Пермь;Образование;"'Уважаемая Администрация города Перми.<br>В Пермском крае, города Перми, детский сад √° 393 по адресу ул, Гашкова 22б находится в непригодном для посещения детей состоянии. Детские площадки разрушены, опасны для прогулок. Пол и двери куда выгружают продукты питания, сгнили и образовались дыры в полу. Детский сад очень долго не ремонтировался, группа номер 1 ""Колобок"" находится в санитарно не пригодных условиях, от грязи все дети заболели коньюктивитом. Обращение было направленно в Роспотребнадзор. Просим принять меры. С уважением, родители.";Содержание гос. образовательных организаций;5
6940;Город Пермь;Физическая культура и спорт;"'Губернатор уа! Вы где! Стыдно за спорт стадион,, Родина""Губаха , Молот , Звезда, Урал - Грейт, Прикамье, везде где задают вопросы изчезаите..,";Строительство спортивной инфраструктуры;5
6970;Город Пермь;Дороги;"'Пермь г, +79918071848. Здравствуйте. Живу в Кировском районе Перми. От дома до работы передвигаюсь пешком по ул. Маршала Рыбалко.
И стала замечать, что по, собственно, главной улице  района стали ездить фуры. Большие, многотонники. Я не включаю сюда Камазы, мусоровозы, доставку в Монетки или др.магазины. Это именно огромные машины, прицепы, без названия, которые раньше шли по Магистральной и Кировоградской.
Может быть где-то знак упал или покрылся грязью, накрылся ветошью? Или это  свыше указание, что отныне движение фур разрешено?
Спасибо за ответ.";Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые;6
7021;Министерство социального развития ПК;Социальное обслуживание и защита;'Добрый день. Куда я могу обратиться, чтобы подать документы на программу Молодая семья, на 1 этап. Была в Мфц, отправили в администрацию Свердловского р-на, т.к прописаны в этом районе, вчера из администрации отправили в Департамент соц.политики на Пермскую 60.<br>Правильно ли они мне сказали? Я в этот Департамент не могу дозвониться. Как они там принимают, по записи или в порядке очереди?;Оказание гос. соц. помощи;5
7023;Город Пермь;Благоустройство;'Добрый день! Тротуары по ул.Дружба и Тургенева по всей длине в наледи. Добролюбова тротуары тоже, а здесь гора, дорогу только с одной стороны почистили, а Халтурина не почистили вообще. Тротуар Средней Дамбы тоже очень скользкий и тоже это гора. Подскажите, когда будет произведена уборка и обработка? Администрация не отвечает на звонки.;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади;5
7031;Город Пермь;Дороги;'Добрый день, хотела обратиться по поводу дорог, которые требуют ремонта. В микрорайоне Висим.<br>Улица Восстания, она была в малениких дырочках и сейчас образовались огромные ямы, особенно очень опасная яма начинается от пересечения с улицей Лузенина.<br>Далее в плохом состоянии дорога по улице Пигасова, там ездит общественный транспорт и по ней спокойно ездить невозможно.<br>Так же проблемы с улицей Алексеевская в районе домов от 94-102, там настолько глубокие ямы, что образуется непроходимое болото, как для людей, так и для машин.<br>Помогите пожалуйста, дороги требуют ремонта!;Ямы и выбоины на дороге;5
7044;ИГЖН ПК;ЖКХ;'Белинского 27а, счётчик поменяли, в эксплуатацию приняли, вдруг в мае пришло в платежке, что берут по нормативу, дали номера телефонов, звоним, люди даже этим вопросами не занимаются, для чего КРЦ вписывает эти номера телефонов? В УК даже и не знают, что КРЦ обозначило в платежке. Какой- то замкнутый круг: кто управляет жилищным фондом- ничего не знают, почему, им платят собственные кино за управление, а КРЦ пользуются этим и набивают себе карманы: то меня вдруг появилась, объяснили сбоем, на др. месяц снова, типа, что такое 50 рублей, теперь вот появился с чего вдруг норматив, когда новый принятый счётчик есть, опять пока суть да дело, денежка им капает, с миру по нитке- новый алигарх! Ведь деньги не пахнут, для них мы быдло, которое можно доить а УК, пока проснутся, а потом поезд уже ушёл. Савкина звонили, переслали платежку,обещал разобраться и дать ответ, но, видимо, забыл, в отпуске, а деньги за отопление по нормативу отсчитывают. Столько развели ведомств! Это чтобы собственники не могли найти концов!;Жалобы на управляющие компании;6
