;Исполнитель;Группа тем;Текст инцидента;Тема;num_ner
12767;Министерство здравоохранения;Здравоохранение/Медицина;"'Горнозаводский р-н, +79194841206. Добрый день! Простите но накипело! Моя дочь Еляхина Екатерина Алексеевна 15.05.2018 г. р. имеет статус инвалида. Мы прикреплены к поликлинике в д. Кондратово. Помощи никакой и понимания у мед. персонала начиная с самой заведующей просто НЕТ, СОВСЕМ НЕТ!!! Началось с того что заведующая поликлиникой просто проигнорировала наше обращение по поводу установления инвалидности ещё в мае 2022-она взяла мой номер телефона и сказала я Вас наберу! Сегодня уже 30 сентября, меня до сих пор набирают-4 месяца думают! От педиатра в этом же вопросе помощи не дождались! Пришлось прописать ребёнка у бабушки в г. Горназоводске, где заведующая и мед персонал сделали все направления и мероприятия для оформления инвалидности В ДЕНЬ ОБРАЩЕНИЯ-СПАСИБО ИМ ОГРОМНОЕ, а то мы до сих пор ждём звонка от заведующей из Кондратово!
После операции хирург рекомендовал посещение генетика, тут тоже начинается ""КВЕСТ В КОНДРАТОВСКИЙ ПОЛИКЛИНИКЕ"" - неделю не можем дозвониться, но чудо мы дозвонились в регистратуру и сказали прейти к любому педиатру в порядке живой очереди для записи к генетику. Пришли, отсидели очередь и тут нам говорят: ""У вас есть свой педиатр-который принимает всего два раза в неделю, и вообще чтобы записаться к генетику нужно сначала ОФИЦИАЛЬНО ЗАПИСАТЬСЯ К ПЕДИАТРУ!
Возникает куча вопросов:
1. Почему по контактным телефонам говорят одно, приходишь а по факту другое.
2. Как выполнить эти квесты, мне не ходить на службу совсем?
3. А может быть действия персонала Кондратовский поликлиники являются неоказанием медицинской помощи?
4. Как в итоге направить ребёнка к генетику, чтобы в дальнейшем не запустить здоровье? Кстати на срочную операцию мы попали благодаря халатности опять же мед. персонала Кондратовской поликлиники! То что было у дочери для них было нормой, а Федеральный центр пульмонологии посчитал другое и в кратчайшие сроки нас прооперировал! И туда мы обратились по собственной инициативе, повторюсь так как диагноз преведший к инвалидности в Кондратовской поликлинике это НОРМА!
Прошу не оставить без внимания моё обращение и помочь проити КВЕСТ с запись ребёнка к генетику.
И да я понимаю что на обращение будет отвечать, а даже скорее всего звонить заведующая из Кондратовской поликлиники, но будет ли в этом смысл? Мы сами уже к ней обращались!
С уважением Еляхин Алексей Николаевич, 89194841206, aleksejartemov30@gmail.com";Ошибки врачей, халатность;13
13003;Министерство социального развития ПК;Социальное обслуживание и защита;"'И дополнение...еще я сохранила ответы от Профессионального союза художников, нашла данные эти, проверила по пенсионному фонду, зашла на гос услуги, и в налоговый кабинет, попробую все это заплнить, также добилась ответов от Минтруда и Минсоц, и как я и писала Министерствам - самозанятость не совсем подходит, к сожалению((( сегодня в соц.защите мы анализируя пришли к этому же выводу, возможно это плюс для отчетности, но пенсия выйдет маленькая, и да я действительно хочу платить сейчас тогда за себя пенсию и тратить на свою работу и обучение свои средства, просто не понимала как это оформить всё правильно, и действительно дохода нет большого сейчас, он очень маленький, но он есть :<br>Вопрос 7. Обязан ли профессиональный художник, в том числе член Профессионального союза художников России, для продажи своих работ регистрироваться в качестве индивидуального предпринимателя (ИП)?<br>Ответ. Творческая деятельность не является предпринимательской, т.к. согласно ст. 2 Гражданского Кодекса РФ, предпринимательской является деятельность, направленная на систематическое получение прибыли. В случае же творческой деятельности мотивация абсолютно иная. Значит, профессиональные художники, в том числе члены ПСХР, которые осуществляют свою деятельность самостоятельно, не по трудовым договорам, имеют право реализовывать свои произведения без регистрации в качестве ИП.<br>А если какой-либо налоговый орган все же пытается требовать от профессионального художника регистрацию в качестве ИП, можно сослаться на постановление Федерального арбитражного суда Московского округа от 21 августа 2006 г. № КГ-А40/7525-06, в котором однозначно говорится: «Творческая деятельность является особым видом деятельности и не относится к предпринимательской и иной экономической деятельности».<br>Так что регистрация в качестве ИП – право художника, а не обязанность.<br>Вопрос 8. Какие налоги должен платить профессиональный художник, самостоятельно продающий свои работы? Имеет ли он право на налоговые льготы?<br>Ответ. Если художник не регистрировался в качестве ИП или самозанятого гражданина, то он должен платить 13-процентный налог на доходы физических лиц, подавая ежегодную декларацию о доходах.<br>При подаче декларации можно получить профессиональный налоговый вычет для налогоплательщика, получающего авторские вознаграждения или вознаграждения за создание, исполнение или иное использование произведений науки, литературы и искусства (ст. 221 Налогового Кодекса РФ). Этот вычет можно получить либо в сумме фактически произведенных и документально подтвержденных расходов на создание произведений, либо по нормативу, если эти расходы не могут быть подтверждены документально.<br>Этот норматив для художественно-графических произведений, фоторабот для печати, произведений архитектуры и дизайна составляет до 30% от стоимости произведений; для произведений скульптуры, монументально-декоративной живописи, декоративно-прикладного и оформительского искусства, станковой живописи, театрально- и кинодекорационного искусства и графики, выполненных в различной технике, – до 40%.<br>Имеется также льгота по налогу на имущество физических лиц, осуществляющих профессиональную творческую деятельность, – в отношении специально оборудованных помещений, сооружений, используемых ими исключительно в качестве творческих мастерских, ателье, студий, а также жилых домов, квартир, комнат, используемых для организации открытых для посещения негосударственных музеев, галерей, библиотек, – на период такого их использования (ст. 407 НК РФ). Эта льгота предоставляется в размере суммы налога в отношении одного объекта налогообложения каждого вида по выбору налогоплательщика.<br>Вопрос 9. А может ли художник зарегистрироваться в качестве самозанятого гражданина? И имеет ли это смысл?<br>Ответ. С 2019 года в ряде регионов России в качестве эксперимента действует закон, по которому художник, самостоятельно продающий свои работы, может зарегистрироваться в качестве самозанятого гражданина, уплатить определенный взнос, но зато пото";Оказание гос. соц. помощи;14
13196;АО ПРО ТКО;Мусор/Свалки/ТКО;"'Добрый день! Всех с наступившим Новым 2022-м годом!!! Мы жители малоквартирного сталинского дома по адресу: Комсомольский пр. 50, в Свердловском районе г. Перми. Дом находится в Центре города, рядом с ТЦ Гостиный Двор, управляется ООО УК ""Экском"". Последние несколько лет в доме большая проблема - вывоз ТКО, поскольку на придомовой территории не установлены контейнеры для сбора ТКО. Ближайшая контейнерные площадки находятся: ул. Газеты Звезда, 44 (расстояние до нее от нашего дома не менее 2-х кварталов) и ул. 1-я Красноармейская, 41 (еще дальше). До 2016 г. особых проблем не было, поскольку ближайшая площадка находилась у дома Комсомольский пр. 56, но жильцы этого тома организовали ТСН, огородили придомовую территорию, а контейнерную площадку перенесли внутрь своей территории. ООО УК ""Экском"" не участвует в делах собственников нашего дома, а только присылает квитанции на оплату, где есть строка - услуга по обращению с ТКО. Единственное их предложение - собственники дома должны собрать общее собрание и проголосовать по вопросу организации контейнерной площадки на своей территории. Но кому простите, у нас собираться? 7-8 престарелых бабушек, которые понятия не имею о том что такое общее собрание собственников, привыкшие что все решает ""домоуправление"" и от силы 2-3 квартиры с адекватными, грамотными собственниками??? Никакое собрание здесь просто не состоится! Правда есть такой вариант, на территории ТЦ ""Гостиный Двор"", на их территории, которая имеет с нами общие границы, установлены большие контейнеры для сбора ТКО. Доступ к ним свободен в течение светового дня, территория ТЦ перекрывается только на ночь. Если бы жильцам нашего дома разрешили выносить мусор в данные контейнеры, то было бы очень удобно, а главное не далеко. Посоветуйте, как нам поступить в сложившейся ситуации.";Проблемы с контейнерами;12
13332;Министерство здравоохранения;Здравоохранение/Медицина;'Здравствуйте Дмитрий Николаевич. По индивидуальной программе реабилитации или аблитации,ребенка инвалида с 7.02.18г.по14.08.33г.<br>ФОНД СОЦИАЛЬНОГО СТРАХОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ. г. Пермь ул Клары Цеткин 10 а. Обеспечевали дочь Софию рож. 13.08.2015 протезами до этого года. 4 мая 22г. обратились ФСС.( получили отказ) 8.07.22г. Обратились в Фсс, получили уведомление (Извещение о привидении закупи будут не позднее 30 календарных дней со дня подачи инвалидом. В сентябре посетили ФСС. В 3 раз нам сообщили что нет средств!!!! Приобретайте сами.!<br>Протез косметический стоит 48.50.<br>Протез активный 283 583.<br>У меня нет возможности приобрести самой. Ребёнок растёт протезы малы. София 1 сентября пошла 1 класс. Без протеза мы не можем посещать школу.<br>Звонила к вам в приёмную 253-70-64.ответили что это не в вашей компетенции,этим занимается министерство социального развития. ФСР. ответил (ФСС не относятся к нам) С этой проблемой обратились в Прокуратура Ленинского района, 22 сентября. Ответа нет. Дмитрий Николаевич помогите.!;Льготные лекарства;11
13342;Губахинский городской округ;Общественный транспорт;"'Пожалуйста, введите утренний рейс отправлением от Коммуны до Губахи в 07:40, это необходимо и студентам колледжей, они начинают учёбу в 08:30, и школьникам коррекционной школы(особенно по понедельникам), - почему-то этих детей не возят на школьном автобусе, отдельным работникам Метафракса, у которых работа тоже начинается с 08:30, живут они на Коммуне, а автобус заводской начинает свой маршрут с пос. Северный. И наконец, не менее важное, большая часть работающего женского населения работает в г. Губаха. Пожалуйста, рассматривая новое расписание на зимний период, не убирайте рейсы направлением ""Губаха-Коммуна"" на 18:20 и 19:40. Не малая часть работают в Губахе с 09:00 до 18:00, согласитесь, удобно удобно уезжать домой в 18:20!? А рейс 19:40 удобен для тех, кто задержался на работе, для школьников, которые ездят в ""Доминанту"" на занятия, у них занятия заканчиваются в 19:00... Да мало ли ещё кому что надо!? Час Пик, это как раз тот случай, когда нужны рейсы автобусов утром от Коммуны до Губахи ,для нуждающихся, с 07:00 до 10:00, и вечером обратно от Губахи до Коммуны или до 30 лет Октября с 17:00 до 20:15! С интервалом в 20 минут. Вот это настоящая забота о населении ! Есть над чем серьёзно задуматься и решить совместно Николаю Владимировичу Лазейкину с перевозчиком- индивидуальным предпринимателем";График движения общественного транспорта;12
15493;Министерство здравоохранения;Здравоохранение/Медицина;'Министерство здравоохранения Пермского края<br>Министерство здравоохранения Пермского края ответил Наталье<br>Наталья Юдина Здравствуйте, понимаем вашу встревоженность. Действительно в амбулаторных консультативно-диагностических центрах (АКДЦ) Прикамья, возникли очереди, которые связаны с тем, что в регионе идет серьезный рост заболеваемости. Амбулаторно-поликлиническое звено сейчас испытывает колоссальную нагрузку, с которой ранее мы еще не встречались. При этом, бОльшая часть медицинского персонала занимается вызовами к пациентам с подтвержденным ковидом и проходящим лечение амбулаторно. У людей, перенесших эту инфекцию даже в среднетяжелой форме, могут возникнуть серьезные осложнения, особенно – у хронических больных, и им нужно уделять особое внимание.<br>Мы просим жителей Пермского края отнестись с пониманием и напоминаем, что обращаться в АКДЦ нужно пациентам при симптомах ОРВИ: температуре до 38, насморке, боли в горле и/или кашле, головной боли. Врачи сделают анализы и назначат лечение. Отметим, что с подтвержденным COVID-19 в поликлинику ходить не следует. Вот я скопировала ,что Вы писали одной пациентке. А сейчас расскажу нашу ситуацию и ответьте на мои вопросы. Район Парковый. У меня в пятницу 4 фев заболела дочь температура около 39. вызывали скорую приехала через 2 часа, назначили лечение. Врач скорой сказал что ждите неотложку, 2 дня прошло неотложки так и не было, нужно открыть больничный, В понедельник 7 фев вызывали врача на дом, сказали врачи не ходят по домам приходите в поликлиннику ( а температура так и не спадала). И что она пойдет с температурой 39 ????? Она до туалета дойти затрудняется !!!<br>КАК ПРОВЕРИТЬ КОВИД ИЛИ НЕТ? ЕСЛИ НИКТО НЕ ПРИЕХАЛ И НЕ ВЗЯЛ МАЗОК? ЧТО ПРИХОДИТЬ В ПОЛИКЛИННИКУ И ЗАРАЖАТЬ ДРУГИХ? я ее мама 63 года с кучей хронических заболеваний ( и Вы пишите У людей, перенесших эту инфекцию даже в среднетяжелой форме, могут возникнуть серьезные осложнения, особенно – у хронических больных, и им нужно уделять особое внимание.) я заразилась от нее и у меня тоже высокая температура 38,8. И как с такой температурой идти в больницу чтобы взяли анализы, а симптомы у нас - высокая температура, сильный кашель, боль в горле, насморк, и УЖАСНАЯ головная боль!!! А У ВАС ТОЛЬКО ОТПИСКА!!! Звонили мы в поликлиннику на Куфонина.;Технические проблемы с записью на прием к врачу;11
15517;Министерство образования;Образование;'Здравствуйте! Подскажите пожалуйста с каких пор соревнования стали важнее учебного процесса? Показуха предпочтительней? Подготовить группу студентов для соревнований - более важная задача, чем качественное обучение всех студентов колледжа? В Пермском базовом медицинском колледже учебные аудитории переделываются под мастерские для проведения соревнований WorldSkills уже в течении 2 лет. При этом требования ФГОС Министерства образования и науки РФ грубо нарушаются - нет необходимых учебных кабинетов, перечисленных в ФГОС, нет должного оборудования, в соответствии с тем же ФГОС. Студентов приходится обучать практически на пальцах! А, ФГОС это ведь для преподавателей, а для администрации, которая должна всесторонне обеспечивать учебный процесс там ничего нет?! Это во время когда страна, армия как в воздухе нуждается в грамотном медицинском персонале? Зачет! А, за соревнования дают премии, а за качественное обучение нет? Молодцы! Так держать! А, Министерство образования Пермского Края не в курсе на каком уровне проходит учебный процесс в СПО Края? Опять молодцы! Всегда о достижениях приятней и выгодней докладывать! Так держать!<br>Преподаватель ПБМК Коновалов Павел Владимирович.;Образовательный процесс;11
15562;ИГЖН ПК;ЖКХ;'Здравствуйте ! Я<br>Степанов<br>Игорь<br>Леонидович 1975года рождения проживаю<br>Пермский край город<br>Чусовой улица<br>Ленина дом9.<br>Дело в том,во дворе нашего дома дворик,во дворике растут клены,этому дворику 60лет,эти деревья никому не мешают,никаких проводов над нашим двориком не навесает.<br>Управляющая компания<br>Гарант эксперт начала срезать ветви клена,накидали их во дворе,я обращался по поводу уборки,к главе города<br>Белову,к управляющей компании гарант-эксперт города<br>Чусовой,они сообщили,что уберут,до15 апреля,сегодня 21апреля,но так ничего не убрано.<br>Прошу посодействуйте пожайлуста.<br>Сам я инвалид 2группы передвигаюсь с тростью.<br>Благодарю<br>Вас за содействие<br>Степанов<br>Игорь<br>Леонидович<br>Пермский край город<br>Чусовой улица<br>Ленина дом9;Жалобы на управляющие компании;12
15979;ИГЖН ПК;ЖКХ;'Добрый день!<br>К вам обращаюсь я, Сафарова Александра Евгеньевна, 15.11.1993 года рождения, зарегистрирована поэтажному: г. Пермь, ул. Макаренко, 14-50. Проживаю с мужем и тремя детьми!<br>Помогите , пожалуйста, оставить управляющую компанию «Урал Сервис» в нашем доме. Пусть и дальше продолжают обслуживать наш дом, по ул. Макаренко, 14!!!!<br>Они за пол года работы сделали больше, чем ЖК-36 за последние года.<br>За пол года они отремонтировали нам крышу, сделали уборку придомовой территории (что не делалось при ЖК-36 более двух лет), производили покос, убирали опасные, трухлявые деревья, у нас всегда чисто в подъездах, всегда есть куда обратиться и всегда ответят и помогут решить проблему! Мы хотим и дальше продолжать сотрудничать с данной управляющей компанией.<br>ЖК-36 за многие годы ничего полезного для дома не делали! Зимой дорогу от снега расчистят один раз - это уже хорошо. Крыша была у нас в аварийном состоянии, благодаря УК «Урал-Сервис» у нас теперь целая крыша и мы спокойно можем встречать дождливую осень!<br>У нас заросли во дворе, кронирование деревьев производилось лишь на бумагах, а на деле у нас уже образовался парк, где люди из соседних домов ходят к нам выгуливать собак! А что касается детской площадки? Мы уже 5 лет в доме живем и при правлении ЖК-36 и не было бы перспектив ее нам поставить!!! У нас трое детей и мы вынуждены ходить с детьми на детские площадки в соседние дома!!! Так же асфальт у дома весь разбит, яма на яме! Если возникали какие-то проблемы в доме, то до председателя ЖК-36 не дозвониться и не достучаться. Проблема не решалась.<br>С 1 марта 2022 года ЖК-36 больше не обслуживает наш дом, на каком основании они с 1 марта разносят квитанции по ящикам по настоящее время? Это не законно! Это мошенничество! И ведь пожилые люди, которые не понимают, продолжают доверять ЖК-36 и произносят туда оплату! А в каких целях используют эти деньги ЖК-36? На что они их расходуют, если они больше не обслуживают наш дом?<br>У нас в доме в основном пожилое поколение и они привыкли жить как по старинке, они выбрали одного председателя и не хотят меняться совсем! А мы хотим дом развивать, ухаживать за ним, поэтому очень просим вас оставьте УК «Урал Сервис», пусть они нас обслуживают!!! Голосование было законно, я сама лично видела, как 4 женщины ходили по подъездам, по квартирам с бюллетенями! И я сама лично голосовала!!!! С ЖК-36 у нашего дома не будет будущего!!!;Жалобы на управляющие компании;13
15999;Город Пермь;Мусор/Свалки/ТКО;"'Сегодня, проходя мимо МКД, Серебрянки,3, не увидев на прежнем месте мусорную площадку, удивилась:"" Неужели грозный клич Толмачева Антона сработал?""<br>И всё же...<br>Где контейнеры, установленные по субсидии, стоимостью около 100000р.?<br>Кто приделал им ножки?<br>УК ""Реал""!<br>Вопрос к Вам и Администрации Свердловского р-на г.Перми!<br>Сегодня была очевидцем, как из МКД,Серебрянки,3, складировали мусор на контейнерную площадку Серебрянки,5, местами поджаренную при недавнем поджоге.<br>Выражаясь словами Высоцкого и обращаясь к УК ""Реал"", нелишне поинтересоваться:"" Где деньги, Зин?<br>Куда уплыли по субсидии мусорные контейнеры?""<br>Может Прокуратура ответит?";★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке;11
16014;Город Пермь;Общественный транспорт;"'[id191369063|Наталья], автобус и так ходит нормально №22 по всей Гайве от Пермского Военного Института по Толбухина, можно ездить до остановки ""Школа 80"" и рядом чуть ниже станция ""Кабельная"", эти автобусы часто ходят через каждые 20 минут в будние дни, вполне нормально и достаточно, не нужен никакой другой автобус. Также от станции Кабельная на этом же автобусе 22 можно ездить по всей Гайве, Рынок, Барнаульская и микрорайон. Но можно ещё какой-нибудь маршрут запустить по Толбухина, чтобы останавливался как 22-й у Школы №80, вообще хорошо будет!";Добавить новый маршрут;11
16242;ИГЖН ПК;ЖКХ;"'Здравствуйте!<br>г. Березники, Пермский край.<br>При начислении оплаты за отопление, ПАО ""ЭнегосбыТ плюс"" применило норматив , коэффициентом 0,0279 Гкал на 1 м2 жилой и не жилой площади.<br>Мной было подано обращение в КРЦ-Прикамье для разъяснения завышенного размера платы за жилое помещение.<br>Ответ по запросу от ""КРЦ-Прикамье "":<br>""Уведомляем Вас, что по МКД по адресу г.Березники, ул. Свердлова, д.160 с 01.10.2022г. по распоряжению ПФ АО «ЭнергосбыТ Плюс» на основании данных из Росреестра внесены изменения по материалу стен, в связи с чем изменился норматив предъявления по услуге отопление.<br>С 01.10.2022 для расчетов объема потребления по нормативу применяется коэффициент 0,0279 (ранее коэффициент был 0,0214)"".<br>Прошу разъяснить, вносились ли изменения в ПРИКАЗ от 16 декабря 2019 года N СЭД-24-02-46-149 ""Об утверждении нормативов потребления коммунальной услуги по отоплению в жилых помещениях многоквартирных (жилых) домов на территории Пермского края, рассчитанных на 8 месяцев отопительного периода""?<br>https://docs.cntd.ru/document/561662602<br>Буду благодарна за разъяснение!";Плата за ЖКУ и работа ЕИРЦ;12
16557;Министерство социального развития ПК;Погребение и похоронное дело;'ДОБРОГО ВРЕМЕНИ СУТОК,<br>19.02.22.умер Гордеев Е.И.- ТРУЖЕНИК ТЫЛА, ИНВАЛИД 1 ГРУППЫ, РАБОЧИЙ СТАЖ 43 ГОДА НА ОДНОМ ПРЕДПРИЯТИИ,имеет награды, 92 года , мой отец.<br>Дзержинским отделом ПФР 1 марта 2022 его вдове, которой 88 лет, инвалиду 2 группы,ветерану труда было отказано в получении пособия на погребение, хотя законом предусмотрена выдача пособия в день обращения. В грубой форме сотрудник пенсионного фонда Дзержинского района Перми заявила, что моя мама может здесь сидеть до ночи, но ее все равно не примут и денег не дадут, слишком много вас здесь ходит.<br>Запишитесь через госуслуги в электронную очередь, это было сказано пожилой женщине, которая не умеет даже смс читать, у нее нет счета, пенсию получает через почту.<br>укажите свой счет, введите логин и т. д.,<br>она просто упивалась своим всемогуществом и значимостью, потом смилостивилась и записала маму аж на 24 марта при условии введения логина и наличии счета.<br>папа был похоронен 22 февраля, мы с сестрой живем в других городах, что делать маме ?<br>мне бы очень хотелось, чтобы сотрудники ПФР Дзержинского района принесли свои извинения пожилому заслуженному человеку, инвалиду, который приходил не просить милостыню, а получить положенную ему помощь от государства, а не от ПФР Дзержинского района г. Перми.<br>мою , убитую горем маму, которая прожила с отцом 67 лет в совместном браке, обидели, унизили и оскорбили,<br>кроме того ,грубо нарушили ее права как человека и гражданина.<br>Прошу разобраться в данной ситуации, наказать и уволить сотрудников , допустивших такое отношение к обратившимся к ним людям.<br>ни один телефон ПФР Дзержинского района Перми не отвечает, ни один, ни простых сотрудников, ни руководства<br>прошу прекратить геноцид сотрудников против жителей своего же района<br>в других районах города пособие выдают в день обращения в порядке живой очереди, в других городах тоже, у меня есть множество свидетелей.<br>простите, я написала это на эмоциях, просто хочу, чтобы Вы знали , какие сотрудники работают в гос. учреждениях, а с таких людей у некоторых рождается недоверие и к государству, это неправильно, не хочешь, не можешь работать с людьми-уходи., обижать стариков недостойно.;Погребение и похоронное дело;14
17343;Город Пермь;Строительство и архитектура;"'#9вопросовчиновникам<br>Беда никогда не приходит одна. Пока ПМД пытается застроить стадион ""Молот"" высотным жильем, другие, менее сильные застройщики подбирают крошки за ПМД. Например ОРСО-групп, не имеющий чиновничьего прикрытия и не имеющий хороших связей с губернатором уже почти возвел две свечки у ""Молота"". Придомовая территория там минимальная, люди будут драться из-за парковочных мест а их детям негде будет погулять, ну да кого это волнует? Главное бабла побольше заработать.<br>А под конец зимы оттаял, словно куча собачьего гэ, другой застройщик, доедающий крошки вокруг ""Молота"". На пересечении КИМ и Циолковского скоро вырастит огромный человейник. Когда начнут забивать свои, то аварийным домам, стоящим рядом со стройплощадкой, от вибрации придет капец.<br>[id628987039|Алексей Дёмкин] напомните, пжст, проходили ли общественные слушанья среди жителей Рабочего, где бы они четко сказали ""да"" высоткам и ""нет"" новым школам, садикам и ФОКам?<br>Рады очередному ""человейнику"" у стадиона ""Молот""?<br>Нет, исторический район города нельзя застраивать точечно высотным жильем с минимальной придомовой территорией<br>Да, оргазмирую в экстазе, нужно больше этажей строить!";Архитектура города;11
17427;Министерство здравоохранения;Здравоохранение/Медицина;"'Пермь г, +79082599193. Здравствуйте!
Прошу компетентное ведомство (Минздрав ПК?) дать мне ответ на вопрос: «Когда и где я, наконец, смогу попасть на приём к ревматологу?».
Суть дела. У меня уже третий год болят локтевые суставы, а с недавних пор – ещё и мышцы и сухожилия вокруг них. До лета прошлого года я ходил к нашему хирургу в поликлинику № 3 ГБУЗ ПК «ГКБ им. С.Н. Гринберга» по ул. Сокольская, 33, где мне с периодичностью, примерно, раз в 4-6 месяцев делали укол дипроспана, снимая боль, то в один, то в другой сустав – в зависимости от того, какой начинал болеть сильнее. В конце прошедшего лета нашего хирурга на месте не оказалось: в отпуске он был или на больничном – не знаю. Дежурный терапевт меня направил на рентген локтевого сустава, а затем к хирургу в поликлинику № 1 ГБУЗ ПК «ГКБ им. С.Н. Гринберга» по ул. Маршала Рыбалко, 2а, который мне однозначно сказал, что это НЕ хирургическая болезнь и на приём мне нужно идти к ревматологу. По телефону я обратился в страховую компанию «КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ», где мне сказали, что попасть на приём к «узкому» специалисту, в данном случае ревматологу, я могу только по направлению своего терапевта. Тогда (в августе-сентябре 2021 г.) ревматолог не принимал (не знаю по какой причине). Я дождался, когда выйдет на работу наш хирург, снова купил укол дипроспана и поставил его в очередной раз. 
В декабре прошедшего года боли стали снова усиливаться. Записался на приём к своему терапевту Онориной Я.Ю. на 30 декабря. Она мне написала направление к ревматологу Камашевой И.Л. с явкой 10-11 января 2022 г. с 17 до 19 часов в Поликлинику № 2 ГБУЗ ПК «ГКБ им. С.Н. Гринберга» по ул. Липатова, 19, кабинет № 308. 
10 января к 17 часам приехал на приём в Поликлинику № 2, занял очередь, просидев полтора часа, до 18:30, услышал от вышедшей из кабинета Камашевой И.Л., что она принимает только больных с больничными листами по ОРВИ и приём, как специалист-ревматолог, не ведёт согласно приказу. Какому именно и чьему приказу не уточнила.
В связи с вышеизложенным прошу дать мне ответ на поставленный в начале моего обращения вопрос: «Когда и где я, наконец, смогу попасть на приём к ревматологу?».
С уважением, Попов А.С.";Технические проблемы с записью на прием к врачу;11
